"id","merchant_id","price","product_id","ratings","stock"
"50ba33b7-447e-4202-9f4d-5030e36e5cc2","a75cb713-d639-43fa-b737-1ebaece22dea",1769.99,"67d1724efa213e49230b16ff",4.1,30
"f7bc7398-4a63-4c3b-a63a-3d4cf9d4a5ec","3fc76339-7c1e-46b0-aa62-68398916c539",1599,"67d167648ab24d2a30d05634",4.3,50
"91a0c1a4-ab8f-42ff-b80f-1d140c7766df","b3838a5e-28e7-4516-ae3c-03c18b305f0a",1629,"67d167648ab24d2a30d05634",4.9,40
"ef847bf0-da9a-480f-9472-7b5d1d8131c1","3fc76339-7c1e-46b0-aa62-68398916c539",1599,"67d167b44d742f094f0b3427",4.3,50
"1d3aab44-6d2d-494b-afd0-c5ea3dffb8d6","b3838a5e-28e7-4516-ae3c-03c18b305f0a",1629,"67d167b44d742f094f0b3427",4.9,40
"ba9ce761-d505-4d90-8763-dcdacaf9b00d","b3838a5e-28e7-4516-ae3c-03c18b305f0a",1199,"67d167b44d742f094f0b3428",4.9,30
"ef9fcea9-044f-4c84-82c8-07794635ee0a","86a79319-a85a-454c-87e0-e42f863773b0",1185,"67d167b44d742f094f0b3428",4.8,35
"dc6e8e3a-bcac-43ae-a52a-f222e6038c2c","bcc049ca-4ffc-45db-869a-12e4e74d369a",799,"67d167b44d742f094f0b3429",4.3,60
"b871070f-079d-4a18-990f-25af70a26f0e","86a79319-a85a-454c-87e0-e42f863773b0",789,"67d167b44d742f094f0b3429",4.8,50
"40a8b0f2-7779-4ca1-9c4a-367572d0ad38","40761abe-99eb-4d5a-867a-9fa562b21c8a",349,"67d167b44d742f094f0b342a",4.6,70
"c16d1eeb-30de-4923-b7ec-848583404420","5a9702f3-66e9-4d40-8794-329d3941efa5",345,"67d167b44d742f094f0b342a",4.5,60
"e050af5c-331c-4a20-8ee1-8eac540a3c9a","40761abe-99eb-4d5a-867a-9fa562b21c8a",2499,"67d167b44d742f094f0b342b",4.6,20
"4f4b730d-3f05-4811-80ca-e4dec3949a26","3372c805-e263-42de-808a-75e3ec3bec71",2475,"67d167b44d742f094f0b342b",4.6,25
"0065a8c2-2e79-4187-bbd6-d234e7cfc558","b3838a5e-28e7-4516-ae3c-03c18b305f0a",399,"67d167b44d742f094f0b342c",4.7,45
"089de5ec-04cb-412b-a35f-ede957b4749a","3372c805-e263-42de-808a-75e3ec3bec71",389,"67d167b44d742f094f0b342c",4.8,55
"4413ede9-e5d6-40b9-b440-52328df3cdb6","b3838a5e-28e7-4516-ae3c-03c18b305f0a",1299,"67d168f64d742f094f0b342e",4.5,35
"5e55f59c-f7f8-4520-93a6-a439c0547bb6","5a9702f3-66e9-4d40-8794-329d3941efa5",1275,"67d168f64d742f094f0b342e",4.7,40
"75a8d8ac-148a-45e5-984e-d996ecc66169","b3838a5e-28e7-4516-ae3c-03c18b305f0a",2199,"67d16b7e0ad3fd74a78125d5",4.8,25
"22579d4e-b706-41b8-8158-c98176496ed7","5a9702f3-66e9-4d40-8794-329d3941efa5",2150,"67d16b7e0ad3fd74a78125d5",4.9,30
"4ba0ae07-5094-4a63-8841-00d05eeac1be","b3838a5e-28e7-4516-ae3c-03c18b305f0a",2199,"67d16d45145a42770aea5b36",4.8,25
"3b3b0a08-7f0b-4b5e-86df-49f4093733b0","5a9702f3-66e9-4d40-8794-329d3941efa5",2150,"67d16d45145a42770aea5b36",4.9,30
"327e3650-60ba-4f00-8cdd-bece49cd8611","b3838a5e-28e7-4516-ae3c-03c18b305f0a",2199,"67d16ddf4d0e557327d46693",4.8,25
"78a2ca31-0fe1-4c11-ae65-f5395049a681","5a9702f3-66e9-4d40-8794-329d3941efa5",2150,"67d16ddf4d0e557327d46693",4.9,30
"76c2e67d-bebc-4b11-a196-56fbb6ea98d1","b3838a5e-28e7-4516-ae3c-03c18b305f0a",2199,"67d16f674d0e557327d46694",4.8,25
"aa014aad-4848-4823-8e55-8cd0fee8e497","5a9702f3-66e9-4d40-8794-329d3941efa5",2150,"67d16f674d0e557327d46694",4.9,30
"65c84845-66dd-4372-9c99-82b6bf597e66","b3838a5e-28e7-4516-ae3c-03c18b305f0a",999.99,"67d1724dfa213e49230b16f9",4.9,250
"6d6ce303-5752-4a1d-9d6f-f6d855e18f19","86a79319-a85a-454c-87e0-e42f863773b0",989.99,"67d1724dfa213e49230b16f9",4.8,180
"c776aa5c-8d77-4503-a598-f3665f6e42fd","317c3a01-075f-4d43-aa34-ab5124282083",979.99,"67d1724dfa213e49230b16f9",4.2,120
"2cf994db-d7aa-455e-a398-653746cc600c","b3838a5e-28e7-4516-ae3c-03c18b305f0a",1999.99,"67d1724dfa213e49230b16fa",4.9,150
"1b2333d7-b46f-41ef-9e79-c1a601785ccf","0f279b5b-bcc7-4de8-bc83-83a91c6366b2",1989.99,"67d1724dfa213e49230b16fa",4.5,100
"38637b3e-4ab8-40ec-806e-527f9eb1517a","a8e14839-d394-416b-be2a-8839515e620a",1199.99,"67d1724dfa213e49230b16fb",4.7,200
"6d3d54e8-5854-4f22-aa5b-d99ad9b9f874","0f279b5b-bcc7-4de8-bc83-83a91c6366b2",1179.99,"67d1724dfa213e49230b16fb",4.5,150
"fc062134-8edf-4485-bde5-c1ca0b9c78d3","86a79319-a85a-454c-87e0-e42f863773b0",1189.99,"67d1724dfa213e49230b16fb",4.8,175
"693d78a6-4fbe-482f-b997-06af35a03a5f","40761abe-99eb-4d5a-867a-9fa562b21c8a",349.99,"67d1724dfa213e49230b16fc",4.6,90
